Model,MSE (Train),MAE (Train),R2 (Train),MSE (Test),MAE (Test),R2 (Test)
LinearRegression,19.4535,3.5712,0.9334,20.1667,3.6183,0.9283
Ridge (alpha=0.01),19.4535,3.5712,0.9334,20.1667,3.6183,0.9283
Ridge (alpha=0.1),19.4535,3.5712,0.9334,20.1667,3.6183,0.9283
Ridge (alpha=1),19.4535,3.5712,0.9334,20.1668,3.6183,0.9283
Ridge (alpha=10),19.4535,3.5712,0.9334,20.1673,3.6184,0.9283
Ridge (alpha=100),19.4537,3.5716,0.9334,20.1727,3.6193,0.9283
Lasso (alpha=0.01),19.4535,3.5711,0.9334,20.1669,3.6183,0.9283
Lasso (alpha=0.1),19.4541,3.5715,0.9334,20.1768,3.6198,0.9283
Lasso (alpha=1),19.5181,3.58,0.9331,20.3322,3.6402,0.9277
Lasso (alpha=10),25.0543,4.0404,0.9142,26.5588,4.1813,0.9056
Lasso (alpha=100),131.8957,9.487,0.5482,127.9115,9.3244,0.5453
